Project,TC,Approach,Policy,FromNode,ToNode
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDOMImplementation:<init>,org.apache.batik.dom.util.HashTable:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:<init>,java.lang.Class:getClassLoader
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:<init>,org.apache.batik.dom.AbstractNode:getOwnerDocument
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:<init>,org.apache.batik.dom.AbstractParentNode:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:<init>,org.apache.batik.dom.AbstractNode:setOwnerDocument
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:<init>,java.lang.Object:getClass
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:<init>,org.apache.batik.i18n.LocalizableSupport:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:<init>,org.apache.batik.dom.AbstractParentNode:appendChild
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:<init>,org.apache.batik.dom.xbl.GenericXBLManager:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractNode:<init>,java.lang.Object:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.util.HashTable:<init>,java.lang.Object:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDOMImplementation:registerFeature,java.lang.String:toLowerCase
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDOMImplementation:registerFeature,org.apache.batik.dom.util.HashTable:put
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:<init>,org.apache.batik.dom.AbstractNode:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.i18n.LocalizableSupport:<init>,java.lang.Object:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.i18n.LocalizableSupport:<init>,java.util.ArrayList:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.xbl.GenericXBLManager:<init>,java.lang.Object:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:appendChild,org.apache.batik.dom.AbstractParentNode:fireDOMSubtreeModifiedEvent
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:appendChild,org.apache.batik.dom.AbstractParentNode$ChildNodes:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:appendChild,org.apache.batik.dom.AbstractNode:getFirstChild
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:appendChild,org.apache.batik.dom.AbstractParentNode:fireDOMNodeInsertedEvent
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:appendChild,org.apache.batik.dom.AbstractParentNode$ChildNodes:append
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:appendChild,org.apache.batik.dom.AbstractParentNode:checkAndRemove
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:appendChild,org.apache.batik.dom.GenericDocumentType:getNodeType
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:appendChild,org.apache.batik.dom.AbstractParentNode:nodeAdded
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:appendChild,org.apache.batik.dom.AbstractParentNode:appendChild
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:appendChild,org.apache.batik.dom.AbstractChildNode:setParentNode
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.util.HashTable:put,org.apache.batik.dom.util.HashTable:rehash
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.util.HashTable:put,org.apache.batik.dom.util.HashTable$Entry:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.util.HashTable:put,java.lang.String:hashCode
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.util.HashTable:put,java.lang.String:equals
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:checkAndRemove,java.lang.Integer:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:checkAndRemove,org.apache.batik.dom.AbstractNode:createDOMException
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:checkAndRemove,org.apache.batik.dom.AbstractDocument:getNodeType
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:checkAndRemove,org.apache.batik.dom.AbstractNode:getOwnerDocument
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:checkAndRemove,org.apache.batik.dom.AbstractDocument:getCurrentDocument
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:checkAndRemove,org.apache.batik.dom.GenericDocument:isReadonly
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:checkAndRemove,org.apache.batik.dom.AbstractDocument:getNodeName
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:checkAndRemove,org.apache.batik.dom.AbstractChildNode:getParentNode
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:checkAndRemove,org.apache.batik.dom.AbstractDocument:checkChildType
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:checkAndRemove,org.apache.batik.dom.AbstractParentNode:removeChild
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:checkAndRemove,org.apache.batik.dom.AbstractNode:getParentNode
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode$ChildNodes:<init>,java.lang.Object:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode$ChildNodes:append,org.apache.batik.dom.AbstractChildNode:setNextSibling
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode$ChildNodes:append,org.apache.batik.dom.GenericDocumentType:getNodeType
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode$ChildNodes:append,org.apache.batik.dom.AbstractChildNode:setPreviousSibling
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:fireDOMNodeInsertedEvent,org.apache.batik.dom.events.DOMMutationEvent:initMutationEventNS
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:fireDOMNodeInsertedEvent,org.apache.batik.dom.AbstractDocument:getEventsEnabled
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:fireDOMNodeInsertedEvent,org.apache.batik.dom.AbstractDocument:createEvent
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:fireDOMNodeInsertedEvent,org.apache.batik.dom.AbstractNode:fireDOMNodeInsertedIntoDocumentEvent
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:fireDOMNodeInsertedEvent,org.apache.batik.dom.AbstractNode:dispatchEvent
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:fireDOMNodeInsertedEvent,org.apache.batik.dom.AbstractDocument:getCurrentDocument
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:fireDOMSubtreeModifiedEvent,org.apache.batik.dom.events.DOMMutationEvent:initMutationEventNS
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:fireDOMSubtreeModifiedEvent,org.apache.batik.dom.AbstractDocument:getEventsEnabled
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:fireDOMSubtreeModifiedEvent,org.apache.batik.dom.AbstractDocument:createEvent
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:fireDOMSubtreeModifiedEvent,org.apache.batik.dom.AbstractNode:dispatchEvent
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractParentNode:fireDOMSubtreeModifiedEvent,org.apache.batik.dom.AbstractDocument:getCurrentDocument
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.util.HashTable$Entry:<init>,java.lang.Object:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.i18n.LocaleGroup:<init>,java.lang.Object:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:checkChildType,java.lang.Integer:<init>
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:checkChildType,org.apache.batik.dom.AbstractNode:createDOMException
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:checkChildType,org.apache.batik.dom.AbstractDocument:getDoctype
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:checkChildType,org.apache.batik.dom.AbstractDocument:getNodeName
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:checkChildType,org.apache.batik.dom.AbstractDocument:getNodeType
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:checkChildType,org.apache.batik.dom.GenericDocumentType:getNodeName
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:checkChildType,org.apache.batik.dom.GenericDocumentType:getNodeType
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:checkChildType,org.apache.batik.dom.AbstractDocument:getDocumentElement
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractNode:createDOMException,org.apache.batik.dom.AbstractDocument:getCurrentDocument
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractNode:createDOMException,org.apache.batik.dom.AbstractDocument:formatMessage
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractNode:dispatchEvent,org.apache.batik.dom.AbstractNode:initializeEventSupport
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractNode:dispatchEvent,org.apache.batik.dom.events.EventSupport:dispatchEvent
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:getDocumentElement,org.apache.batik.dom.AbstractParentNode:getFirstChild
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:getDocumentElement,org.apache.batik.dom.AbstractChildNode:getNextSibling
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:getDocumentElement,org.apache.batik.dom.GenericDocumentType:getNodeType
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:getDoctype,org.apache.batik.dom.AbstractParentNode:getFirstChild
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:getDoctype,org.apache.batik.dom.AbstractChildNode:getNextSibling
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractDocument:getDoctype,org.apache.batik.dom.GenericDocumentType:getNodeType
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractNode:initializeEventSupport,org.apache.batik.dom.AbstractDocument:getImplementation
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractNode:initializeEventSupport,org.apache.batik.dom.AbstractDOMImplementation:createEventSupport
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractNode:initializeEventSupport,org.apache.batik.dom.AbstractNode:getCurrentDocument
batik,ALL,WALA,0-1-CFA,org.apache.batik.dom.AbstractNode:initializeEventSupport,org.apache.batik.dom.AbstractDocument:getCurrentDocument
