ProjectName	TestCase	ApproachName	Policy	Time (ms)
batik-testcases.jar	Ltestcases/TC_PadMode_Map	WALA	0-1-CFA	122
batik-testcases.jar	Ltestcases/TC_CompositeRule_Simple	WALA	0-1-CFA	234
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_List	WALA	0-1-CFA	144
batik-testcases.jar	Ltestcases/TC_ARGBChannel_List	WALA	0-1-CFA	201
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Set	WALA	0-1-CFA	156
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Array	WALA	0-1-CFA	492
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Set	WALA	0-1-CFA	693
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Simple	WALA	0-1-CFA	254
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Array	WALA	0-1-CFA	267
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Simple	WALA	0-1-CFA	97
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Simple	WALA	0-1-CFA	596
batik-testcases.jar	Ltestcases/TC_PadMode_Simple	WALA	1-CFA	526
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Array	WALA	1-CFA	376
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Map	WALA	1-CFA	472
batik-testcases.jar	Ltestcases/TC_CompositeRule_List	WALA	1-CFA	466
batik-testcases.jar	Ltestcases/TC_PadMode_Set	WALA	1-CFA	413
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Map	WALA	1-CFA	1213
batik-testcases.jar	Ltestcases/TC_CompositeRule_Map	WALA	1-CFA	459
batik-testcases.jar	Ltestcases/TC_PadMode_Array	WALA	1-CFA	469
batik-testcases.jar	Ltestcases/TC_CompositeRule_Array	WALA	1-CFA	377
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Set	WALA	1-CFA	418
batik-testcases.jar	Ltestcases/TC_PadMode_List	WALA	1-CFA	411
batik-testcases.jar	Ltestcases/TC_AbstractDocument_List	WALA	1-CFA	1202
batik-testcases.jar	Ltestcases/TC_CompositeRule_Set	WALA	1-CFA	482
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Map	WALA	1-CFA	416
batik-testcases.jar	Ltestcases/TC_PadMode_Map	WALA	1-CFA	458
batik-testcases.jar	Ltestcases/TC_CompositeRule_Simple	WALA	1-CFA	405
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_List	WALA	1-CFA	456
batik-testcases.jar	Ltestcases/TC_ARGBChannel_List	WALA	1-CFA	403
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Set	WALA	1-CFA	415
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Array	WALA	1-CFA	1284
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Set	WALA	1-CFA	1321
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Simple	WALA	1-CFA	479
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Array	WALA	1-CFA	452
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Simple	WALA	1-CFA	423
