ProjectName	TestCase	ApproachName	Policy	Time (ms)	#Extra Iterations
batik-testcases.jar	Ltestcases/TC_CompositeRule_List	WALA	0-1-CFA	167	0
batik-testcases.jar	Ltestcases/TC_PadMode_Set	WALA	0-1-CFA	202	0
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Map	WALA	0-1-CFA	498	0
batik-testcases.jar	Ltestcases/TC_CompositeRule_Map	WALA	0-1-CFA	298	0
batik-testcases.jar	Ltestcases/TC_PadMode_Array	WALA	0-1-CFA	88	0
batik-testcases.jar	Ltestcases/TC_CompositeRule_Array	WALA	0-1-CFA	87	0
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Set	WALA	0-1-CFA	84	0
batik-testcases.jar	Ltestcases/TC_PadMode_List	WALA	0-1-CFA	83	0
batik-testcases.jar	Ltestcases/TC_AbstractDocument_List	WALA	0-1-CFA	321	0
batik-testcases.jar	Ltestcases/TC_CompositeRule_Set	WALA	0-1-CFA	90	0
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Map	WALA	0-1-CFA	220	0
batik-testcases.jar	Ltestcases/TC_PadMode_Map	WALA	0-1-CFA	117	0
batik-testcases.jar	Ltestcases/TC_CompositeRule_Simple	WALA	0-1-CFA	208	0
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_List	WALA	0-1-CFA	132	0
batik-testcases.jar	Ltestcases/TC_ARGBChannel_List	WALA	0-1-CFA	191	0
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Set	WALA	0-1-CFA	143	0
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Array	WALA	0-1-CFA	499	0
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Set	WALA	0-1-CFA	273	0
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Simple	WALA	0-1-CFA	82	0
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Array	WALA	0-1-CFA	83	0
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Simple	WALA	0-1-CFA	80	0
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Simple	WALA	0-1-CFA	203	0
batik-testcases.jar	Ltestcases/TC_PadMode_Simple	WALA	1-CFA	384	0
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Array	WALA	1-CFA	211	0
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Map	WALA	1-CFA	214	0
batik-testcases.jar	Ltestcases/TC_CompositeRule_List	WALA	1-CFA	287	0
batik-testcases.jar	Ltestcases/TC_PadMode_Set	WALA	1-CFA	301	0
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Map	WALA	1-CFA	1451	0
batik-testcases.jar	Ltestcases/TC_CompositeRule_Map	WALA	1-CFA	392	0
batik-testcases.jar	Ltestcases/TC_PadMode_Array	WALA	1-CFA	229	0
batik-testcases.jar	Ltestcases/TC_CompositeRule_Array	WALA	1-CFA	201	0
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_Set	WALA	1-CFA	201	0
batik-testcases.jar	Ltestcases/TC_PadMode_List	WALA	1-CFA	188	0
batik-testcases.jar	Ltestcases/TC_AbstractDocument_List	WALA	1-CFA	1229	0
batik-testcases.jar	Ltestcases/TC_CompositeRule_Set	WALA	1-CFA	415	0
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Map	WALA	1-CFA	233	0
batik-testcases.jar	Ltestcases/TC_PadMode_Map	WALA	1-CFA	203	0
batik-testcases.jar	Ltestcases/TC_CompositeRule_Simple	WALA	1-CFA	178	0
batik-testcases.jar	Ltestcases/TC_TextNode_Anchor_List	WALA	1-CFA	176	0
batik-testcases.jar	Ltestcases/TC_ARGBChannel_List	WALA	1-CFA	334	0
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Set	WALA	1-CFA	474	0
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Array	WALA	1-CFA	1140	0
batik-testcases.jar	Ltestcases/TC_AbstractDocument_Set	WALA	1-CFA	989	0
batik-testcases.jar	Ltestcases/TC_ARGBChannel_Simple	WALA	1-CFA	397	0
