ProjectName	TestCase	ApproachName	Policy	# Nodes	#Edges
batik	Ltestcases/TC_TextNode_Anchor_Set	WALA	0-1-CFA	1197	2685
batik	Ltestcases/TC_PadMode_List	WALA	0-1-CFA	1191	2675
batik	Ltestcases/TC_AbstractDocument_List	WALA	0-1-CFA	2193	5274
batik	Ltestcases/TC_CompositeRule_Set	WALA	0-1-CFA	1198	2692
batik	Ltestcases/TC_ARGBChannel_Map	WALA	0-1-CFA	1200	2684
batik	Ltestcases/TC_PadMode_Map	WALA	0-1-CFA	1199	2683
batik	Ltestcases/TC_CompositeRule_Simple	WALA	0-1-CFA	1183	2659
batik	Ltestcases/TC_TextNode_Anchor_List	WALA	0-1-CFA	1191	2675
batik	Ltestcases/TC_ARGBChannel_List	WALA	0-1-CFA	1192	2676
batik	Ltestcases/TC_ARGBChannel_Set	WALA	0-1-CFA	1198	2686
batik	Ltestcases/TC_AbstractDocument_Array	WALA	0-1-CFA	2187	5222
batik	Ltestcases/TC_AbstractDocument_Set	WALA	0-1-CFA	2193	5271
batik	Ltestcases/TC_ARGBChannel_Simple	WALA	0-1-CFA	1183	2653
batik	Ltestcases/TC_TextNode_Anchor_Array	WALA	0-1-CFA	1187	2661
batik	Ltestcases/TC_TextNode_Anchor_Simple	WALA	0-1-CFA	1182	2652
batik	Ltestcases/TC_AbstractDocument_Simple	WALA	0-1-CFA	2182	5213
batik	Ltestcases/TC_PadMode_Simple	WALA	1-CFA	3248	7040
batik	Ltestcases/TC_ARGBChannel_Array	WALA	1-CFA	3260	7058
batik	Ltestcases/TC_TextNode_Anchor_Map	WALA	1-CFA	3285	7099
batik	Ltestcases/TC_CompositeRule_List	WALA	1-CFA	3294	7136
batik	Ltestcases/TC_PadMode_Set	WALA	1-CFA	3286	7094
batik	Ltestcases/TC_AbstractDocument_Map	WALA	1-CFA	7177	16657
batik	Ltestcases/TC_CompositeRule_Map	WALA	1-CFA	3304	7136
batik	Ltestcases/TC_PadMode_Array	WALA	1-CFA	3258	7055
batik	Ltestcases/TC_CompositeRule_Array	WALA	1-CFA	3277	7092
batik	Ltestcases/TC_TextNode_Anchor_Set	WALA	1-CFA	3286	7094
batik	Ltestcases/TC_PadMode_List	WALA	1-CFA	3275	7099
batik	Ltestcases/TC_AbstractDocument_List	WALA	1-CFA	7159	16632
batik	Ltestcases/TC_CompositeRule_Set	WALA	1-CFA	3305	7131
batik	Ltestcases/TC_ARGBChannel_Map	WALA	1-CFA	3287	7102
batik	Ltestcases/TC_PadMode_Map	WALA	1-CFA	3285	7099
batik	Ltestcases/TC_CompositeRule_Simple	WALA	1-CFA	3266	7070
batik	Ltestcases/TC_TextNode_Anchor_List	WALA	1-CFA	3275	7099
batik	Ltestcases/TC_ARGBChannel_List	WALA	1-CFA	3277	7102
batik	Ltestcases/TC_ARGBChannel_Set	WALA	1-CFA	3288	7097
batik	Ltestcases/TC_AbstractDocument_Array	WALA	1-CFA	7093	16407
batik	Ltestcases/TC_AbstractDocument_Set	WALA	1-CFA	7155	16626
batik	Ltestcases/TC_ARGBChannel_Simple	WALA	1-CFA	3249	7024
batik	Ltestcases/TC_TextNode_Anchor_Array	WALA	1-CFA	3258	7055
batik	Ltestcases/TC_TextNode_Anchor_Simple	WALA	1-CFA	3248	7040
batik	Ltestcases/TC_AbstractDocument_Simple	WALA	1-CFA	7083	16392
castor	Ltestcases/TC_AccessMode_Set	SENECA	0-1-CFA	2115	5421
castor	Ltestcases/TC_TableAccessModeType_Simple	SENECA	0-1-CFA	1886	4695
castor	Ltestcases/TC_SqlDirtyType_Simple	SENECA	0-1-CFA	1886	4692
castor	Ltestcases/TC_SqlDirtyType_Array	SENECA	0-1-CFA	1894	4713
castor	Ltestcases/TC_AccessMode_Map	SENECA	0-1-CFA	2120	5428
castor	Ltestcases/TC_FieldTypeVisibilityType_Simple	SENECA	0-1-CFA	1886	4692
castor	Ltestcases/TC_EventListenerList_Set	SENECA	0-1-CFA	2118	5431
castor	Ltestcases/TC_SqlDirtyType_List	SENECA	0-1-CFA	2101	5418
castor	Ltestcases/TC_EventListenerList_Array	SENECA	0-1-CFA	2080	5228
castor	Ltestcases/TC_FieldTypeVisibilityType_Map	SENECA	0-1-CFA	2121	5430
castor	Ltestcases/TC_BindingType2_Simple	SENECA	0-1-CFA	1886	4695
castor	Ltestcases/TC_VisibilityType_Set	SENECA	0-1-CFA	2114	5420
castor	Ltestcases/TC_FieldMappingCollectionType_List	SENECA	0-1-CFA	2101	5418
castor	Ltestcases/TC_TableAccessModeType_List	SENECA	0-1-CFA	2101	5421
castor	Ltestcases/TC_ClassMappingAccessType_Map	SENECA	0-1-CFA	2121	5430
castor	Ltestcases/TC_BindXmlNodeType_Map	SENECA	0-1-CFA	2121	5430
castor	Ltestcases/TC_BindingType_Map	SENECA	0-1-CFA	2121	5430
castor	Ltestcases/TC_AccessMode_List	SENECA	0-1-CFA	2102	5422
castor	Ltestcases/TC_VisibilityType_List	SENECA	0-1-CFA	2101	5421
castor	Ltestcases/TC_BindXmlAutoNamingType_Set	SENECA	0-1-CFA	2114	5420
castor	Ltestcases/TC_SqlDirtyType_Set	SENECA	0-1-CFA	2114	5420
castor	Ltestcases/TC_FieldMappingCollectionType_Map	SENECA	0-1-CFA	2121	5430
castor	Ltestcases/TC_TableAccessModeType_Set	SENECA	0-1-CFA	2114	5417
castor	Ltestcases/TC_BindXmlNodeType_Set	SENECA	0-1-CFA	2114	5417
castor	Ltestcases/TC_FieldMappingCollectionType_Array	SENECA	0-1-CFA	1894	4716
castor	Ltestcases/TC_BindingType2_Set	SENECA	0-1-CFA	2114	5421
castor	Ltestcases/TC_ClassMappingAccessType_Simple	SENECA	0-1-CFA	1886	4695
castor	Ltestcases/TC_TableAccessModeType_Array	SENECA	0-1-CFA	1894	4716
castor	Ltestcases/TC_BindXmlAutoNamingType_Map	SENECA	0-1-CFA	2121	5430
castor	Ltestcases/TC_EventListenerList_Simple	SENECA	0-1-CFA	2067	5210
castor	Ltestcases/TC_BindXmlAutoNamingType_Simple	SENECA	0-1-CFA	1886	4692
castor	Ltestcases/TC_ClassMappingAccessType_Set	SENECA	0-1-CFA	2114	5417
castor	Ltestcases/TC_SqlDirtyType_Map	SENECA	0-1-CFA	2121	5430
castor	Ltestcases/TC_FieldTypeCollectionType_Map	SENECA	0-1-CFA	2121	5430
castor	Ltestcases/TC_TableAccessModeType_Map	SENECA	0-1-CFA	2121	5430
castor	Ltestcases/TC_BindXmlAutoNamingType_Array	SENECA	0-1-CFA	1894	4713
castor	Ltestcases/TC_BindingType_List	SENECA	0-1-CFA	2101	5418
castor	Ltestcases/TC_BindXmlNodeType_List	SENECA	0-1-CFA	2101	5421
castor	Ltestcases/TC_AccessMode_Simple	SENECA	0-1-CFA	1886	4692
castor	Ltestcases/TC_EventListenerList_List	SENECA	0-1-CFA	2105	5429
castor	Ltestcases/TC_FieldMappingCollectionType_Set	SENECA	0-1-CFA	2114	5417
castor	Ltestcases/TC_AccessMode_Array	SENECA	0-1-CFA	1894	4713
castor	Ltestcases/TC_EventListenerList_Map	SENECA	0-1-CFA	2125	5441
castor	Ltestcases/TC_VisibilityType_Map	SENECA	0-1-CFA	2121	5430
castor	Ltestcases/TC_FieldTypeCollectionType_List	SENECA	0-1-CFA	2101	5421
castor	Ltestcases/TC_FieldMappingCollectionType_Simple	SENECA	0-1-CFA	1886	4692
